USER           PID  PPID        VSZ    RSS WCHAN            ADDR S NAME                       
root             1     0   10931188  11124 ep_poll             0 S init
root             8     1   10893592  10436 poll_schedule_timeout.constprop.0 0 S init
root             9     1   10930584  10736 poll_schedule_timeout.constprop.0 0 S ueventd
prng_seeder     12     1   10951116   7660 futex_do_wait       0 S prng_seeder
logd            17     1   10980720   8276 sigsuspend          0 S logd
lmkd            18     1   10896388   4572 ep_poll             0 S lmkd
system          19     1   10927008   6424 ep_poll             0 S servicemanager
system          20     1   10976024   7532 ep_poll             0 S hwservicemanager
shell           31     1   10855952   3816 wait_woken          0 S sh
root            32     1   10945936  10252 binder_wait_for_work 0 S vold
system          37     1   10977456   6096 binder_wait_for_work 0 S android.system.suspend-service
keystore        38     1   11060068  19232 binder_wait_for_work 0 S keystore2
system          39     1   11039212   8384 binder_wait_for_work 0 S android.hardware.keymaster@4.1-service
tombstoned      49     1   10823640   3716 ep_poll             0 S tombstoned
system          85     1   10804352   4672 binder_wait_for_work 0 S android.hidl.allocator@1.0-service
audioserver     86     1      44412   9224 binder_wait_for_work 0 S android.hardware.audio.service
system          88     1   10849672   6672 binder_wait_for_work 0 S android.hardware.gatekeeper@1.0-service.software
system          91     1   10906460   5604 binder_wait_for_work 0 S android.hardware.graphics.allocator@2.0-service
system          92     1   11035200   8800 binder_wait_for_work 0 S android.hardware.graphics.composer@2.1-service
system          93     1   10858796   7388 ep_poll             0 S android.hardware.health-service.example
system          95     1   10881016   5604 binder_wait_for_work 0 S android.hardware.thermal@2.0-service.mock
media          103     1   10916504   6212 binder_wait_for_work 0 S android.hardware.cas-service.example
nobody         104     1   10844468   5628 binder_wait_for_work 0 S android.hardware.power-service.example
audioserver    105     1   11364904  33452 binder_wait_for_work 0 S audioserver
credstore      106     1   10987440  11284 binder_wait_for_work 0 S credstore
gpu_service    107     1   11018744   9752 binder_wait_for_work 0 S gpuservice
system         108     1   11695448  87632 ep_poll             0 S surfaceflinger
shell          145     1   11095532  12812 ep_poll             0 S adbd
mdnsr          154     1   10807748   4220 poll_schedule_timeout.constprop.0 0 S mdnsd
nobody         155     1   10855752   4652 poll_schedule_timeout.constprop.0 0 S traced_probes
nobody         156     1   10859336   4800 poll_schedule_timeout.constprop.0 0 S traced
root           161     1    1823688 160980 poll_schedule_timeout.constprop.0 0 S zygote
root           162     1   15000048 198440 poll_schedule_timeout.constprop.0 0 S zygote64
cameraserver   163     1   11267868  39480 binder_wait_for_work 0 S cameraserver
incidentd      165     1   10964520   6504 ep_poll             0 S incidentd
root           166     1   10958904   7560 binder_wait_for_work 0 S installd
mediaex        167     1   11543836  39024 binder_wait_for_work 0 S media.extractor
media          168     1   10924804  10228 binder_wait_for_work 0 S media.metrics
media          169     1     118416  25600 binder_wait_for_work 0 S mediaserver
root           170     1   11345108  13924 binder_wait_for_work 0 S netd
root           176     1   10933980   6764 binder_wait_for_work 0 S storaged
wifi           195     1   10819452   8040 ep_poll             0 S wificond
mediacodec     200     1      74040  15792 binder_wait_for_work 0 S media.codec
radio          201     1   11004428   9724 hrtimer_nanosleep   0 S rild
mediacodec     203     1   11390644  24960 binder_wait_for_work 0 S media.swcodec
statsd         205     1   11094024   8516 ep_poll             0 S statsd
system         206     1   10836192   7388 binder_wait_for_work 0 S gatekeeperd
system         242   162   19422112 391600 ep_poll             0 S system_server
u0_a64         666   162   16923936 262092 ep_poll             0 S com.android.systemui
u0_a76         670   162   15037376 128372 ep_poll             0 S com.android.permissioncontroller
network_stack  797   162   14934668 114640 ep_poll             0 S com.android.networkstack.process
webview_zygote 848   161    1761836  76220 poll_schedule_timeout.constprop.0 0 S webview_zygote
secure_element 870   162   14772524  95884 ep_poll             0 S com.android.se
radio          892   162   15082660 131896 ep_poll             0 S com.android.phone
u0_a61         929   162   15445848 204516 ep_poll             0 S com.android.launcher3
u0_a66        1052   162   14753724  94376 ep_poll             0 S com.android.smspush
u0_a82        1183   162   14807840  98776 ep_poll             0 S android.ext.services
system        1192   162   14894880 141004 ep_poll             0 S com.android.settings
u0_a23        1260   162   15337400 203032 ep_poll             0 S com.android.documentsui
u0_a79        1262   162   15136100 147800 ep_poll             0 S com.android.providers.media.module
u0_a41        1291   162   14789624  94980 ep_poll             0 S com.android.printspooler
u0_a16        1311   162   14755420 115992 ep_poll             0 S android.process.acore
u0_a60        1319   162   14789016 108524 ep_poll             0 S com.android.provision
system        1389   162   14763768  96532 ep_poll             0 S com.android.keychain
shell         1422   145   10904424   4324 unix_stream_data_wait 0 S abb
u0_a22        1427   162   14753720  97008 ep_poll             0 S com.android.externalstorage
u0_a84        1466   162   14866776 107572 ep_poll             0 S com.android.devicelockcontroller
u0_a27        1516   162   14742656  99268 ep_poll             0 S com.android.managedprovisioning
u0_a17        1536   162   14809408 107504 ep_poll             0 S android.process.media
u0_a30        1594   162   14754288 101488 ep_poll             0 S com.android.providers.calendar
u0_a58        1623   162   14754044  94256 ep_poll             0 S com.android.quicksearchbox
u0_a33        1645   162   14741736  97460 ep_poll             0 S com.android.traceur
system        1673   162   14736380  92072 ep_poll             0 S com.android.dynsystem
system        1703   162   14753864  94444 ep_poll             0 S com.android.dynsystem:dynsystem
u0_a25        1739   162   14739008  94788 ep_poll             0 S com.android.packageinstaller
u0_a74        1756   162   14879944 105852 ep_poll             0 S com.android.rkpdapp
shell         1778   162   14754176  92352 ep_poll             0 S com.android.shell
u0_a19        1800   162   14880060 103832 ep_poll             0 S com.android.statementservice
u0_a53        1837   162   14834540 121020 ep_poll             0 S com.android.inputmethod.latin
system        1912   162   14771172  94080 ep_poll             0 S com.android.localtransport
bluetooth     1932     1   10901016  12180 binder_wait_for_work 0 S android.hardware.bluetooth@1.1-service.sim
u0_a87        2024   162   16230868 252752 ep_poll             0 S io.twoyi.debug
u0_a87        2048  2024   10871792   4276 __skb_wait_for_more_packets 0 S logcat
u0_a87        2052  2024   10812948   3840 anon_pipe_read      0 S sh
u0_a79        2258   162   14813908 115812 ep_poll             0 S com.android.providers.media.module:PhotoPicker
u0_a87        2653  2024   12956548  17996 hrtimer_nanosleep   0 S libkr64.so
u0_a87        2683  2653   10819920   8888 unix_stream_data_wait 0 S init
u0_a87        2701  2683   10775768   8904 poll_schedule_timeout.constprop.0 0 S init
u0_a87        2712  2683   10777232   9340 poll_schedule_timeout.constprop.0 0 S ueventd
u0_a87        2726  2683   10859680   5836 sigsuspend          0 S logd
u0_a87        2727  2683   10772740   4780 ep_poll             0 S lmkd
u0_a87        2728  2683   10775360   6156 ep_poll             0 S servicemanager
u0_a87        2729  2683   10776804   7452 ep_poll             0 S hwservicemanager
u0_a87        2765  2683   10793740   6452 ptrace_stop.part.0  0 t android.system.suspend@1.0-service
u0_a87        2766  2683   10775248   6148 ptrace_stop.part.0  0 t android.hardware.atrace@1.0-service
u0_a87        2767  2683   10777588   8384 ptrace_stop.part.0  0 t android.hardware.keymaster@4.1-service
u0_a87        2818  2683   10772452   4388 sigsuspend          0 S createns
u0_a87        2874  2683   10828136   6632 ep_poll             0 S statsd
u0_a87        2876  2683   10779292  10820 0                   0 R netd
u0_a87        2883  2683   14112268 229656 poll_schedule_timeout.constprop.0 0 S zygote64
u0_a87        2884  2683   10774500   5592 ptrace_stop.part.0  0 t android.hidl.allocator@1.0-service
u0_a87        2889  2683          0      0 0                   0 Z [_vendor_bin_hw_]
u0_a87        2894  2683   10775224   6324 ptrace_stop.part.0  0 t android.hardware.authsecret@1.0-service
u0_a87        2895  2683   10778728   9452 ptrace_stop.part.0  0 t android.hardware.bluetooth@1.1-service.sim
u0_a87        2912  2683   10775424   6148 ptrace_stop.part.0  0 t android.hardware.contexthub@1.1-service.mock
u0_a87        2922  2683   10801068  10192 ptrace_stop.part.0  0 t android.hardware.graphics.allocator@3.0-service
u0_a87        2923  2683   10805244  15140 unix_stream_data_wait 0 S android.hardware.graphics.composer@2.3-service
u0_a87        3005  2683   10775328   6296 ptrace_stop.part.0  0 t android.hardware.power.stats@1.0-service.mock
u0_a87        3015  2683   10775432   6508 ptrace_stop.part.0  0 t android.hardware.thermal@2.0-service.mock
u0_a87        3019  2683   10775320   6292 ptrace_stop.part.0  0 t android.hardware.usb@1.0-service
u0_a87        3020  2683   10778916   9656 ptrace_stop.part.0  0 t android.hardware.wifi@1.0-service
u0_a87        3023  2683   10778164   9000 ptrace_stop.part.0  0 t android.hardware.identity-service.example
u0_a87        3031  2683   10774668   5776 ptrace_stop.part.0  0 t android.hardware.lights-service.example
u0_a87        3034  2683   10774668   5984 ptrace_stop.part.0  0 t android.hardware.power-service.example
u0_a87        3035  2683   10774804   5940 ptrace_stop.part.0  0 t android.hardware.rebootescrow-service.default
u0_a87        3038  2683   10774708   5896 ptrace_stop.part.0  0 t android.hardware.vibrator-service.example
u0_a87        3101  2683   10796436  10044 ptrace_stop.part.0  0 t credstore
u0_a87        3102  2683   10794764   8436 ptrace_stop.part.0  0 t gpuservice
u0_a87        3103  2683   10831160  23420 unix_stream_data_wait 0 S surfaceflinger
u0_a87        3120  2683   10829204   7872 ptrace_stop.part.0 e3e890f6ce20 t android.hardware.drm@1.0-service
u0_a87        3157  3120          0      0 0                   0 Z [_system_bin_cra]
u0_a87        3262  2889          0      0 0                   0 Z [_system_bin_cra]
u0_a87        3349  2683   10847088   8252 ep_poll             0 S adbd
u0_a87        3352  2683   10790300   4928 poll_schedule_timeout.constprop.0 0 S traced_probes
u0_a87        3368  2683    8668548    988 poll_schedule_timeout.constprop.0 0 S mdnsd
u0_a87        3369  2683   10790300   4876 poll_schedule_timeout.constprop.0 0 S traced
u0_a87        3379  2683   10822276  32776 ptrace_stop.part.0  0 R cameraserver
u0_a87        3380  2683   10793660   7228 unix_stream_data_wait 0 S drmserver
u0_a87        3381  2683   10792020   6132 unix_stream_data_wait 0 S idmap2d
u0_a87        3403  2683   10793244   6728 ep_poll             0 S incidentd
u0_a87        3406  2683   10796940  10440 futex_do_wait       0 S keystore
u0_a87        3410  2683   10794544   8236 unix_stream_data_wait 0 S media.metrics
u0_a87        3416  2683   10844964  35064 unix_stream_data_wait 0 S mediaserver
u0_a87        3417  2683   10810864   7140 unix_stream_data_wait 0 S storaged
u0_a87        3452  2683   10797616  10080 ep_poll             0 S wificond
u0_a87        3540  2683   10793888   7228 ptrace_stop.part.0  0 t android.hardware.sensors@2.1-service.multihal
u0_a87        3555  2683   10779544   9200 unix_stream_data_wait 0 S gatekeeperd
u0_a87        3556  2683   10782664  11944 ep_poll             0 S update_engine
u0_a87        3558  2683   10775356   6308 unix_stream_data_wait 0 S android.hardware.biometrics.face@1.0-service.example
u0_a87        3559  2683   10776396   6324 unix_stream_data_wait 0 S android.hardware.biometrics.fingerprint@2.1-service
u0_a87        3753  2683   10776404   7296 unix_stream_data_wait 0 S android.hardware.gatekeeper@1.0-service.software
u0_a87        3946  2683   10771936   3920 ep_poll             0 S tombstoned
u0_a87        4702  2683          0      0 0                   0 Z [_system_bin_med]
u0_a87        4753  4702          0      0 0                   0 Z [_system_bin_cra]
u0_a87        5215  2883          0      0 0                   0 Z [system_server]
u0_a87        5361  5215          0      0 0                   0 Z [_system_bin_cra]
u0_a87        5369  2683   10793544   6948 unix_stream_data_wait 0 S installd
u0_a87        5679  2683   10771788   3972 hrtimer_nanosleep   0 S llkd
u0_a87        9060  2683   10820112  14888 hrtimer_nanosleep   0 S iorapd
u0_a87        9514  2683   10851244  27148 unix_stream_data_wait 0 S audioserver
u0_a87        9657  2683   10813268  10428 futex_do_wait       0 S vold
u0_a87        9662  2683   10832592  11052 ptrace_stop.part.0  0 t android.hardware.camera.provider@2.6-service-google
u0_a87        9663  2683          0      0 0                   0 Z [_vendor_bin_hw_]
u0_a87        9700  2683   10814816  11700 ptrace_stop.part.0  0 t android.hardware.drm@1.3-service.widevine
u0_a87        9703  2683          0      0 0                   0 Z [_vendor_bin_hw_]
u0_a87        9765  9657      20836   1272 ptrace_stop.part.0  0 t crash_dump64
u0_a87        9773  9662          0      0 0                   0 Z [_system_bin_cra]
root          9778     0   10937968   4944 0                   0 R ps
