USER           PID  PPID        VSZ    RSS WCHAN            ADDR S NAME                       
root             1     0   11039732  11224 ep_poll             0 S init
root             7     1   10852632  10424 poll_schedule_timeout.constprop.0 0 S init
root             8     1   10985880  10608 poll_schedule_timeout.constprop.0 0 S ueventd
prng_seeder     11     1   10938828   7688 futex_do_wait       0 S prng_seeder
logd            16     1   10909040   8008 sigsuspend          0 S logd
lmkd            17     1   10855428   4304 ep_poll             0 S lmkd
system          18     1   10888096   6280 ep_poll             0 S servicemanager
system          19     1   10980120   6944 ep_poll             0 S hwservicemanager
shell           30     1   10790416   3740 wait_woken          0 S sh
root            31     1   10900880  10172 binder_wait_for_work 0 S vold
system          36     1   10944688   5988 binder_wait_for_work 0 S android.system.suspend-service
keystore        37     1   11101028  19164 binder_wait_for_work 0 S keystore2
system          38     1   10828268   8272 binder_wait_for_work 0 S android.hardware.keymaster@4.1-service
tombstoned      48     1   10811352   3120 ep_poll             0 S tombstoned
system          84     1   10857600   4660 binder_wait_for_work 0 S android.hidl.allocator@1.0-service
audioserver     85     1      42572   8976 binder_wait_for_work 0 S android.hardware.audio.service
system          87     1   10849672   6472 binder_wait_for_work 0 S android.hardware.gatekeeper@1.0-service.software
system          88     1   10945372   5420 binder_wait_for_work 0 S android.hardware.graphics.allocator@2.0-service
system          91     1   11012672   8628 binder_wait_for_work 0 S android.hardware.graphics.composer@2.1-service
system          93     1   10885420   7056 ep_poll             0 S android.hardware.health-service.example
system         102     1   10868728   5508 binder_wait_for_work 0 S android.hardware.thermal@2.0-service.mock
media          103     1   10844824   5924 binder_wait_for_work 0 S android.hardware.cas-service.example
nobody         104     1   10961204   5808 binder_wait_for_work 0 S android.hardware.power-service.example
audioserver    105     1   11546180  33344 binder_wait_for_work 0 S audioserver
credstore      106     1   11085744  11064 binder_wait_for_work 0 S credstore
gpu_service    107     1   10957304   9864 binder_wait_for_work 0 S gpuservice
system         108     1   11761980  87484 ep_poll             0 S surfaceflinger
shell          145     1   10994972  11536 ep_poll             0 S adbd
nobody         147     1   10890568   4384 poll_schedule_timeout.constprop.0 0 S traced_probes
nobody         148     1   10867528   4644 poll_schedule_timeout.constprop.0 0 S traced
mdnsr          156     1   10815940   4208 poll_schedule_timeout.constprop.0 0 S mdnsd
root           163     1    1823940 160256 poll_schedule_timeout.constprop.0 0 S zygote
root           164     1   15321584 196880 poll_schedule_timeout.constprop.0 0 S zygote64
cameraserver   165     1   11622172  38944 binder_wait_for_work 0 S cameraserver
incidentd      167     1   10888744   6260 ep_poll             0 S incidentd
root           168     1   10867740   7340 binder_wait_for_work 0 S installd
mediaex        169     1   11572796  38632 binder_wait_for_work 0 S media.extractor
media          170     1   11115268   9892 binder_wait_for_work 0 S media.metrics
media          173     1     118416  25260 binder_wait_for_work 0 S mediaserver
root           187     1   11133112  13588 binder_wait_for_work 0 S netd
root           191     1   10950364   6432 binder_wait_for_work 0 S storaged
wifi           196     1   10868604   7864 ep_poll             0 S wificond
mediacodec     202     1      73248  16024 binder_wait_for_work 0 S media.codec
radio          204     1   10824204   9508 hrtimer_nanosleep   0 S rild
mediacodec     207     1   11474612  24448 binder_wait_for_work 0 S media.swcodec
statsd         212     1   11056164   8456 ep_poll             0 S statsd
system         215     1   10979552   6976 binder_wait_for_work 0 S gatekeeperd
system         237   164   19908024 392300 ep_poll             0 S system_server
u0_a65         666   164   17316184 261340 ep_poll             0 S com.android.systemui
u0_a76         671   164   15342248 128888 ep_poll             0 S com.android.permissioncontroller
network_stack  805   164   15238764 114448 ep_poll             0 S com.android.networkstack.process
webview_zygote 849   163    1762088  77024 poll_schedule_timeout.constprop.0 0 S webview_zygote
secure_element 877   164   15094060  95668 ep_poll             0 S com.android.se
radio          893   164   15404196 131552 ep_poll             0 S com.android.phone
u0_a61         926   164   15792116 205336 ep_poll             0 S com.android.launcher3
u0_a66        1052   164   15092696  94044 ep_poll             0 S com.android.smspush
u0_a82        1185   164   15129388  99560 ep_poll             0 S android.ext.services
system        1199   164   15216416 140284 ep_poll             0 S com.android.settings
u0_a24        1263   164   15607072 205948 ep_poll             0 S com.android.documentsui
u0_a79        1266   164   15561088 146792 ep_poll             0 S com.android.providers.media.module
u0_a17        1296   164   15094392 116108 ep_poll             0 S android.process.acore
u0_a46        1325   164   15111160  94680 ep_poll             0 S com.android.printspooler
shell         1361   145   10941288   4508 unix_stream_data_wait 0 S abb
u0_a60        1370   164   15110840 107260 ep_poll             0 S com.android.provision
u0_a22        1407   164   15075256  96444 ep_poll             0 S com.android.externalstorage
system        1428   164   15132408  96356 ep_poll             0 S com.android.keychain
u0_a84        1468   164   15205748 106972 ep_poll             0 S com.android.devicelockcontroller
u0_a18        1500   164   15113380 107052 ep_poll             0 S android.process.media
u0_a30        1535   164   15064192  99304 ep_poll             0 S com.android.managedprovisioning
u0_a53        1594   164   15058144  93672 ep_poll             0 S com.android.quicksearchbox
u0_a29        1617   164   15093260 100976 ep_poll             0 S com.android.providers.calendar
u0_a34        1641   164   15063272  96900 ep_poll             0 S com.android.traceur
system        1668   164   15057916  91608 ep_poll             0 S com.android.dynsystem
system        1702   164   15092836  94136 ep_poll             0 S com.android.dynsystem:dynsystem
u0_a25        1738   164   15060544  94668 ep_poll             0 S com.android.packageinstaller
u0_a74        1762   164   15201480 104876 ep_poll             0 S com.android.rkpdapp
shell         1781   164   15075584  92200 ep_poll             0 S com.android.shell
u0_a57        1800   164   15196744 119600 ep_poll             0 S com.android.inputmethod.latin
u0_a16        1820   164   15201596 103316 ep_poll             0 S com.android.statementservice
system        1909   164   15075272  94092 ep_poll             0 S com.android.localtransport
bluetooth     1929     1   10937880  12060 binder_wait_for_work 0 S android.hardware.bluetooth@1.1-service.sim
u0_a87        2018   164   16581620 251588 0                   0 R io.twoyi.debug
u0_a87        2042  2018   10836976   3904 __skb_wait_for_more_packets 0 S logcat
u0_a87        2046  2018   10841620   3696 anon_pipe_read      0 S sh
u0_a79        2250   164   15135444 115464 ep_poll             0 S com.android.providers.media.module:PhotoPicker
u0_a87        2652  2018   12673240  17328 0                   0 R libkr64.so
u0_a87        2683  2652   10813860   9340 unix_stream_data_wait 0 S init
u0_a87        2703  2683   10775768   8816 poll_schedule_timeout.constprop.0 0 S init
u0_a87        2711  2683   10777232   9320 poll_schedule_timeout.constprop.0 0 S ueventd
u0_a87        2725  2683   10859680   5840 sigsuspend          0 S logd
u0_a87        2726  2683   10772740   4416 ep_poll             0 S lmkd
u0_a87        2727  2683   10775360   6472 ep_poll             0 S servicemanager
u0_a87        2728  2683   10776804   7716 ep_poll             0 S hwservicemanager
u0_a87        2764  2683   10793740   6204 ptrace_stop.part.0  0 t android.system.suspend@1.0-service
u0_a87        2765  2683   10775248   6076 ptrace_stop.part.0  0 t android.hardware.atrace@1.0-service
u0_a87        2766  2683   10777588   8356 ptrace_stop.part.0  0 t android.hardware.keymaster@4.1-service
u0_a87        2817  2683   10772452   4520 sigsuspend          0 S createns
u0_a87        2827  2683   10771936   3912 ptrace_stop.part.0  0 t tombstoned
u0_a87        2873  2683   10828136   6648 ep_poll             0 S statsd
u0_a87        2876  2683   10774500   5540 ptrace_stop.part.0  0 t android.hidl.allocator@1.0-service
u0_a87        2884  2683   10775224   6164 ptrace_stop.part.0  0 t android.hardware.authsecret@1.0-service
u0_a87        2888  2683   10778728   9492 ptrace_stop.part.0  0 t android.hardware.bluetooth@1.1-service.sim
u0_a87        2899  2683   10775424   6488 ptrace_stop.part.0  0 t android.hardware.contexthub@1.1-service.mock
u0_a87        2913  2683   10776892   8140 ptrace_stop.part.0  0 t android.hardware.drm@1.0-service
u0_a87        2946  2683   10801068  10116 ptrace_stop.part.0  0 t android.hardware.graphics.allocator@3.0-service
u0_a87        2950  2683   10805244  15328 unix_stream_data_wait 0 S android.hardware.graphics.composer@2.3-service
u0_a87        2988  2683   10775328   6344 unix_stream_data_wait 0 S android.hardware.power.stats@1.0-service.mock
u0_a87        3013  2683   10793888   6984 ptrace_stop.part.0  0 t android.hardware.sensors@2.1-service.multihal
u0_a87        3015  2683   10775432   6364 unix_stream_data_wait 0 S android.hardware.thermal@2.0-service.mock
u0_a87        3017  2683   10775320   6224 unix_stream_data_wait 0 S android.hardware.usb@1.0-service
u0_a87        3018  2683   10778916   9664 unix_stream_data_wait 0 S android.hardware.wifi@1.0-service
u0_a87        3117  2683   10796436   9956 ptrace_stop.part.0  0 t credstore
u0_a87        3120  2683   10794764   8740 unix_stream_data_wait 0 S gpuservice
u0_a87        3121  2683   10831160  23236 unix_stream_data_wait 0 S surfaceflinger
u0_a87        4995  2683   10847372   8112 ep_poll             0 S adbd
u0_a87        5045  2683    8668548   1016 poll_schedule_timeout.constprop.0 0 S mdnsd
u0_a87        5365  2683   10850908  10876 ptrace_stop.part.0 f18e6974ded0 t android.hardware.audio.service.ranchu
u0_a87        5412  5365          0      0 0                   0 Z [_system_bin_cra]
u0_a87        5516  2683   10822276  32636 ptrace_stop.part.0  0 t cameraserver
u0_a87        5518  2683   10797616   9976 ep_poll             0 S wificond
u0_a87        6752  2683   10790164   4896 poll_schedule_timeout.constprop.0 0 S traced_probes
u0_a87        6836  2683   10790164   4536 ptrace_stop.part.0  0 t traced
u0_a87        7416  2683   10792020   6176 unix_stream_data_wait 0 S idmap2d
u0_a87        7419  2683   10793244   6964 ep_poll             0 S incidentd
u0_a87        7438  2683   10785240  14972 hrtimer_nanosleep   0 S iorapd
u0_a87        7439  2683   10796940  10064 futex_do_wait       0 S keystore
u0_a87        7456  2683   10794544   8028 unix_stream_data_wait 0 S media.metrics
u0_a87        7476  2683   10810864   6780 unix_stream_data_wait 0 S storaged
u0_a87        7633  2683   10779544   9056 unix_stream_data_wait 0 S gatekeeperd
u0_a87        7634  2683   10782664  11700 ep_poll             0 S update_engine
u0_a87        7636  2683   10775356   6252 unix_stream_data_wait 0 S android.hardware.biometrics.face@1.0-service.example
u0_a87        7637  2683   10776396   6248 unix_stream_data_wait 0 S android.hardware.biometrics.fingerprint@2.1-service
u0_a87        7896  2683   10776404   7376 unix_stream_data_wait 0 S android.hardware.gatekeeper@1.0-service.software
u0_a87        9246  2683   13055112 226728 ptrace_stop.part.0  0 t zygote64
u0_a87        9251  2683   10828416   7104 unix_stream_data_wait 0 S installd
u0_a87        9260  2683   10814164  11000 0                   0 R netd
u0_a87        9639  2683   10851244  27252 unix_stream_data_wait 0 S audioserver
u0_a87        9640  2683          0      0 0                   0 Z [_system_bin_drm]
u0_a87        9661  2683   10831428  26972 futex_do_wait       0 S mediaextractor
u0_a87        9721  2683   10835284  30636 0                   0 t mediaserver
u0_a87        9747  9661   10772060   4164 anon_pipe_read      0 S crash_dump64
u0_a87        9755  2683   10777388   9032 ptrace_stop.part.0  0 R vold
u0_a87        9756  9747   10772064   1720 __skb_wait_for_more_packets 0 S crash_dump64
root          9759     0   10802800   5040 0                   0 R ps
