USER           PID  PPID        VSZ    RSS WCHAN            ADDR S NAME                       
root             1     0   10939380  11232 ep_poll             0 S init
root             8     1   10977560  10652 poll_schedule_timeout.constprop.0 0 S init
root             9     1   10928536  10376 poll_schedule_timeout.constprop.0 0 S ueventd
prng_seeder     12     1   10842572   7668 futex_do_wait       0 S prng_seeder
logd            17     1   10993008   7868 sigsuspend          0 S logd
lmkd            18     1   10861572   4320 ep_poll             0 S lmkd
system          19     1   10869664   6144 ep_poll             0 S servicemanager
system          20     1   10924824   7224 ep_poll             0 S hwservicemanager
shell           31     1   10806800   3684 wait_woken          0 S sh
root            32     1   10962320  10248 binder_wait_for_work 0 S vold
system          37     1   10925204   5840 binder_wait_for_work 0 S android.system.suspend-service
keystore        38     1   11199332  19260 binder_wait_for_work 0 S keystore2
system          39     1   10922476   7876 binder_wait_for_work 0 S android.hardware.keymaster@4.1-service
tombstoned      48     1   10825688   3268 ep_poll             0 S tombstoned
system          85     1   10792064   4620 binder_wait_for_work 0 S android.hidl.allocator@1.0-service
audioserver     86     1      42572   9312 binder_wait_for_work 0 S android.hardware.audio.service
system          88     1   10880392   6448 binder_wait_for_work 0 S android.hardware.gatekeeper@1.0-service.software
system          91     1   10896220   5232 binder_wait_for_work 0 S android.hardware.graphics.allocator@2.0-service
system          92     1   11052636   8528 binder_wait_for_work 0 S android.hardware.graphics.composer@2.1-service
system          93     1   10881324   7120 ep_poll             0 S android.hardware.health-service.example
system          94     1   10878968   5396 binder_wait_for_work 0 S android.hardware.thermal@2.0-service.mock
media           95     1   10826392   6064 binder_wait_for_work 0 S android.hardware.cas-service.example
nobody          96     1   10928436   5528 binder_wait_for_work 0 S android.hardware.power-service.example
audioserver     97     1   11677196  33596 binder_wait_for_work 0 S audioserver
credstore      100     1   11022256  11068 binder_wait_for_work 0 S credstore
gpu_service    101     1   11043320   9752 binder_wait_for_work 0 S gpuservice
system         102     1   11779416  87408 ep_poll             0 S surfaceflinger
shell          143     1   11102876  12344 ep_poll             0 S adbd
nobody         147     1   10872136   4680 poll_schedule_timeout.constprop.0 0 S traced_probes
nobody         152     1   10851144   4652 poll_schedule_timeout.constprop.0 0 S traced
mdnsr          158     1   10838468   4116 poll_schedule_timeout.constprop.0 0 S mdnsd
root           161     1    1823684 160560 poll_schedule_timeout.constprop.0 0 S zygote
root           162     1   15608304 197472 poll_schedule_timeout.constprop.0 0 S zygote64
cameraserver   163     1   11468572  39244 binder_wait_for_work 0 S cameraserver
incidentd      165     1   10939944   6212 ep_poll             0 S incidentd
root           166     1   10942520   7148 binder_wait_for_work 0 S installd
mediaex        167     1   11312412  38744 binder_wait_for_work 0 S media.extractor
media          168     1   10988292  10232 binder_wait_for_work 0 S media.metrics
media          169     1     117368  25244 binder_wait_for_work 0 S mediaserver
root           171     1   11373780  13584 binder_wait_for_work 0 S netd
root           173     1   10913500   6624 binder_wait_for_work 0 S storaged
wifi           174     1   10856316   7704 ep_poll             0 S wificond
mediacodec     175     1      74040  15552 binder_wait_for_work 0 S media.codec
radio          178     1   10936844   9360 hrtimer_nanosleep   0 S rild
mediacodec     186     1   11488948  24472 binder_wait_for_work 0 S media.swcodec
statsd         192     1   11026384   8380 ep_poll             0 S statsd
system         193     1   10918112   7172 binder_wait_for_work 0 S gatekeeperd
system         244   162   20110124 393180 ep_poll             0 S system_server
u0_a65         667   162   17568584 262568 ep_poll             0 S com.android.systemui
u0_a76         670   162   15645588 128948 ep_poll             0 S com.android.permissioncontroller
network_stack  818   162   15506320 113808 ep_poll             0 S com.android.networkstack.process
webview_zygote 844   161    1761832  77224 poll_schedule_timeout.constprop.0 0 S webview_zygote
secure_element 868   162   15380780  95928 ep_poll             0 S com.android.se
radio          891   162   15690916 131864 ep_poll             0 S com.android.phone
u0_a61         928   162   16069016 205788 ep_poll             0 S com.android.launcher3
u0_a66        1035   162   15396852  94208 ep_poll             0 S com.android.smspush
u0_a82        1178   162   15416016  98712 ep_poll             0 S android.ext.services
system        1200   162   15628472 164368 ep_poll             0 S com.android.settings
u0_a79        1242   162   15780544 147392 ep_poll             0 S com.android.providers.media.module
u0_a17        1255   162   15398548 116044 ep_poll             0 S android.process.acore
