total 26088
drwxr-xr-x  2 u0_a87 u0_a87    12288 2026-09-11 10:47 .
drwxr-xr-x 25 u0_a87 u0_a87     4096 2026-09-11 10:47 ..
-rw-r--r--  1 u0_a87 u0_a87        0 2026-09-11 10:47 svc-2816.log
-rw-r--r--  1 u0_a87 u0_a87        0 2026-09-11 10:47 svc-2822.log
-rw-r--r--  1 u0_a87 u0_a87     6045 2026-09-11 10:47 svc-2824.log
-rw-r--r--  1 u0_a87 u0_a87     4656 2026-09-11 10:47 svc-2825.log
-rw-r--r--  1 u0_a87 u0_a87     2445 2026-09-11 10:47 svc-2832.log
-rw-r--r--  1 u0_a87 u0_a87     2535 2026-09-11 10:47 svc-2835.log
-rw-r--r--  1 u0_a87 u0_a87  1486186 2026-09-11 10:54 svc-2838.log
-rw-r--r--  1 u0_a87 u0_a87     5068 2026-09-11 10:47 svc-2839.log
-rw-r--r--  1 u0_a87 u0_a87     5758 2026-09-11 10:47 svc-2840.log
-rw-r--r--  1 u0_a87 u0_a87     6028 2026-09-11 10:47 svc-2841.log
-rw-r--r--  1 u0_a87 u0_a87     4072 2026-09-11 10:47 svc-2842.log
-rw-r--r--  1 u0_a87 u0_a87    34772 2026-09-11 10:47 svc-2861.log
-rw-r--r--  1 u0_a87 u0_a87    46159 2026-09-11 10:47 svc-2862.log
-rw-r--r--  1 u0_a87 u0_a87     2002 2026-09-11 10:47 svc-2863.log
-rw-r--r--  1 u0_a87 u0_a87        0 2026-09-11 10:47 svc-2869.log
-rw-r--r--  1 u0_a87 u0_a87        0 2026-09-11 10:47 svc-2870.log
-rw-r--r--  1 u0_a87 u0_a87        0 2026-09-11 10:47 svc-2871.log
-rw-r--r--  1 u0_a87 u0_a87        0 2026-09-11 10:47 svc-2872.log
-rw-r--r--  1 u0_a87 u0_a87     1987 2026-09-11 10:47 svc-2875.log
-rw-r--r--  1 u0_a87 u0_a87     2624 2026-09-11 10:47 svc-2876.log
-rw-r--r--  1 u0_a87 u0_a87     8663 2026-09-11 10:47 svc-2877.log
-rw-r--r--  1 u0_a87 u0_a87     7627 2026-09-11 10:47 svc-2878.log
-rw-r--r--  1 u0_a87 u0_a87     7728 2026-09-11 10:47 svc-2879.log
-rw-r--r--  1 u0_a87 u0_a87     1987 2026-09-11 10:47 svc-2880.log
-rw-r--r--  1 u0_a87 u0_a87     4656 2026-09-11 10:47 svc-2895.log
-rw-r--r--  1 u0_a87 u0_a87     3626 2026-09-11 10:47 svc-2896.log
-rw-r--r--  1 u0_a87 u0_a87     3202 2026-09-11 10:47 svc-2905.log
