USER           PID  PPID        VSZ    RSS WCHAN            ADDR S NAME                       
root             1     0   10931188  11172 ep_poll             0 S init
root             8     1   10909976  10492 poll_schedule_timeout.constprop.0 0 S init
root             9     1   10887576  10444 poll_schedule_timeout.constprop.0 0 S ueventd
prng_seeder     12     1   10932684   7608 futex_do_wait       0 S prng_seeder
logd            17     1   11031920   7768 sigsuspend          0 S logd
lmkd            18     1   10877956   4220 ep_poll             0 S lmkd
system          19     1   10890144   6016 ep_poll             0 S servicemanager
system          20     1   10922776   7380 ep_poll             0 S hwservicemanager
shell           31     1   10786320   3600 wait_woken          0 S sh
root            32     1   10919312  10012 binder_wait_for_work 0 S vold
system          37     1   10966220   5736 binder_wait_for_work 0 S android.system.suspend-service
keystore        38     1   11023204  19212 binder_wait_for_work 0 S keystore2
system          39     1   10979820   8416 binder_wait_for_work 0 S android.hardware.keymaster@4.1-service
tombstoned      47     1   10782680   3472 ep_poll             0 S tombstoned
system          85     1   10845312   4660 binder_wait_for_work 0 S android.hidl.allocator@1.0-service
audioserver     86     1      44412   9012 binder_wait_for_work 0 S android.hardware.audio.service
system          88     1   10841480   6408 binder_wait_for_work 0 S android.hardware.gatekeeper@1.0-service.software
system          91     1   10945372   5352 binder_wait_for_work 0 S android.hardware.graphics.allocator@2.0-service
system          92     1   11020864   8568 binder_wait_for_work 0 S android.hardware.graphics.composer@2.1-service
system          96     1   10846508   6988 ep_poll             0 S android.hardware.health-service.example
system          98     1   10868728   5512 binder_wait_for_work 0 S android.hardware.thermal@2.0-service.mock
media           99     1   10920600   5964 binder_wait_for_work 0 S android.hardware.cas-service.example
nobody         103     1   10869044   5784 binder_wait_for_work 0 S android.hardware.power-service.example
audioserver    105     1   11635240  33496 binder_wait_for_work 0 S audioserver
credstore      106     1   10950576  11192 binder_wait_for_work 0 S credstore
gpu_service    107     1   11100664   9732 binder_wait_for_work 0 S gpuservice
system         108     1   11752792  87588 ep_poll             0 S surfaceflinger
shell          145     1   11171444  12496 ep_poll             0 S adbd
nobody         147     1   10919240   4360 poll_schedule_timeout.constprop.0 0 S traced_probes
nobody         148     1   10808136   4528 poll_schedule_timeout.constprop.0 0 S traced
mdnsr          159     1   10842564   4172 poll_schedule_timeout.constprop.0 0 S mdnsd
root           161     1    1823684 160824 poll_schedule_timeout.constprop.0 0 S zygote
root           162     1   15043056 199968 poll_schedule_timeout.constprop.0 0 S zygote64
cameraserver   163     1   11579164  39372 binder_wait_for_work 0 S cameraserver
incidentd      165     1   10841640   6436 ep_poll             0 S incidentd
root           170     1   11073592   7344 binder_wait_for_work 0 S installd
mediaex        171     1   11615460  38760 binder_wait_for_work 0 S media.extractor
media          172     1   11115268   9900 binder_wait_for_work 0 S media.metrics
media          179     1     119464  25268 binder_wait_for_work 0 S mediaserver
root           180     1   11226324  13716 binder_wait_for_work 0 S netd
root           181     1   11022044   6520 binder_wait_for_work 0 S storaged
wifi           182     1   10940284   8104 ep_poll             0 S wificond
mediacodec     183     1      73248  15592 binder_wait_for_work 0 S media.codec
radio          184     1   10895884   9320 hrtimer_nanosleep   0 S rild
mediacodec     185     1   11513524  24572 binder_wait_for_work 0 S media.swcodec
statsd         189     1   11066292   8224 ep_poll             0 S statsd
system         190     1   10844384   6932 binder_wait_for_work 0 S gatekeeperd
system         244   162   19605348 391760 ep_poll             0 S system_server
u0_a64         668   162   17002904 261572 ep_poll             0 S com.android.systemui
u0_a76         669   162   15080352 128504 ep_poll             0 S com.android.permissioncontroller
network_stack  813   162   14958508 112892 ep_poll             0 S com.android.networkstack.process
webview_zygote 850   161    1761832  76896 poll_schedule_timeout.constprop.0 0 S webview_zygote
secure_element 865   162   14815532  95400 ep_poll             0 S com.android.se
radio          893   162   15108232 131128 ep_poll             0 S com.android.phone
u0_a62         928   162   15479816 204288 ep_poll             0 S com.android.launcher3
u0_a66        1039   162   14796732  94364 ep_poll             0 S com.android.smspush
u0_a82        1179   162   14833412  98480 ep_poll             0 S android.ext.services
system        1180   162   15040696 164456 ep_poll             0 S com.android.settings
u0_a79        1255   162   15199588 146960 ep_poll             0 S com.android.providers.media.module
u0_a23        1273   162   15357880 202672 ep_poll             0 S com.android.documentsui
